,eventimage,eventtitle,placename,cityname,eventstartdate,eventDescripton
0,https://images.discotech.me/events/None/9f9ac311-87c1-4f8c-8b66-dc414ba1bde2.png?auto=format%2Ccompress,Weekdays at Circa Stadium Swim,Stadium Swim,Las Vegas,"Thursday, July 28, 2022 9:00 AM","Tickets
Tickets available online. Use promo code DISCO to save 10% on your tickets!
View Tickets"
1,https://images.discotech.me/events/37101869/2f731296-0dcc-4018-866c-957c89048f5a.jpg?auto=format%2Ccompress,Desert Drip Fest Las Vegas | Let's Get Drippy | SZN2,Desert Drip Festival,Las Vegas,"Thursday, July 28, 2022 12:00 PM","Event Details
Desert Drip is BACK! 8 Parties | 8 Artists | 1 Low Price
Desert Drip Fest | SZN2 | Summer 2022
Lineup includes: DJ Diesel, Kim Lee, Deux Twins, Justin Credible AND more to come!
Las Vegas boasts some of the biggest pool parties and nightclubs in the world and planning your epic weekend can get time consuming, tricky and expensive.
Desert Drip is the most cost effective and hassle-free way to experience Las Vegas. Leave the party and artist selection up to us, while your Festival Pass grants you free and express entry to the busiest parties in Sin City.
Official Artist & Venue Lineups will be announced on DesertDripFest.com
Please visit our Info Section for festival FAQ's, Rules and Guidelines to ensure your Vegas weekend is the most epic experience."
2,https://images.discotech.me/events/37101874/3864d430-2a06-4aa3-864c-5cb1d8b79dc6.jpg?auto=format%2Ccompress,Exodus Festival Las Vegas | Summer Love Wknd | SZN12,Exodus Festival,Las Vegas,"Thursday, July 28, 2022 12:00 PM","Event Details
Las Vegas Longest Running Festival. 10 Parties | 20+ DJ's | 1 Low Price
Exodus Festival Las Vegas | Season 12 | Summer 2022
Las Vegas boasts some of the biggest pool parties and nightclubs in the world and planning your epic weekend can get time consuming, tricky and expensive.
Exodus Festival Las Vegas, for the 12th Season running, is the most cost effective and hassle-free way to experience Las Vegas. Leave the party and DJ selection up to us, while your All Access Pass grants you free and express entry to the busiest parties in Sin City.
Official DJ & Venue Lineups will be announced on ExodusLasVegas.com
We are proud to be the most trusted festival in Vegas. Please visit our Info Section for festival FAQ's, Rules and Guidelines to ensure your Vegas weekend is the most epic experience."
3,https://images.discotech.me/venue_template/d5b2c0dc-b580-4137-a34d-867be7365c07.jpg?auto=format%2Ccompress,Legacy Thursdays,Legacy Club,Las Vegas,"Thursday, July 28, 2022 2:00 PM",
4,https://images.discotech.me/events/37181881/56711055-4d8a-4d84-bb11-c4d18cee2551.jpg?auto=format%2Ccompress,Anthrax & Black Label Society,Brooklyn Bowl,Las Vegas,"Thursday, July 28, 2022 5:30 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
5,https://images.discotech.me/events/6348581a-b528-4e57-acc1-b99e3eee4a00.jpg?auto=format%2Ccompress,KALEO - Fight or Flight Tour,House of Blues,Las Vegas,"Thursday, July 28, 2022 6:00 PM","Resale Tickets
Sold Out? Get tickets on StubHub.
View Resale Tickets
Discotech may receive a commission on resale ticket purchases."
6,https://d3nxoulyw7bc8u.cloudfront.net/venue_template/3827/1ec758ce-3161-4408-9eda-8b9911ce0e78.jpg,Thursdays,Foundation Room,Las Vegas,"Thursday, July 28, 2022 9:30 PM","Bottle Service
Bottle Menu Floor Plan Unavailable
Table Reservations are closed for this event.
Inside Table
6 GUESTS | $500.00 MIN
Table for 6 located indoors.
Outside Table
6 GUESTS | $500.00 MIN
Table for 6 located outdoors.
Inside Table (Large)
12 GUESTS | $1,000.00 MIN
Table for 12 located indoors.
Outside Table (Large)
12 GUESTS | $1,000.00 MIN
Table for 12 located outdoors."
7,https://images.discotech.me/events/37164024/8268aee0-6ab3-4d68-8ff6-e5f735a8d3ab.jpg?auto=format%2Ccompress,Chateau Rooftop Thursdays,Chateau,Las Vegas,"Thursday, July 28, 2022 10:00 PM",
8,https://images.discotech.me/events/37164761/d4769096-844a-42ad-accb-57046c1bf5b6.jpeg?auto=format%2Ccompress,"Don Diablo, Savi",Zouk,Las Vegas,"Thursday, July 28, 2022 10:00 PM","Tickets
Use promo code DISCO to get a 10% discount off your tickets!
View Tickets"
9,https://images.discotech.me/venue/None/334b8a86-932e-46bc-9fce-dab73ff5737c.jpg?auto=format%2Ccompress,Party Bus Rental,Las Vegas Party Bus,Las Vegas,"Thursday, July 28, 2022 10:00 PM","Event Details
Las Vegas transportation services offered in this limousine type include:
Point to point services:
Single stop trips made easy and convenient, as our service can drop you off and pick you up later on.
Dedicated chauffeur services:
Have the convenience of a dedicated Chauffeur for several hours or for the day as your agenda can change from one moment to the next.
Disclaimer:
* Hourly rates do not include driver gratuity, Nevada excise tax, fees or applicable fuel surcharges.
* Fuel surcharges are subject to change.
* This party bus requires a minimum 2-hour booking.
† Complimentary champagne requires a minimum of 2-hour booking."
