,links
0,https://app.discotech.me/events/37155171-weekdays-at-circa-stadium-swim-at-stadium-swim
1,https://app.discotech.me/events/37101869-desert-drip-fest-las-vegas-lets-get-drippy-szn2-at-desert-drip
2,https://app.discotech.me/events/37101874-exodus-festival-las-vegas-summer-love-wknd-szn12-at-exodus
3,https://app.discotech.me/events/37177788-legacy-thursdays-at-legacy-club
4,https://app.discotech.me/events/37181881-anthrax-and-black-label-society-at-brooklyn-bowl
5,https://app.discotech.me/events/36944052-kaleo-fight-or-flight-tour-at-house-of-blues
6,https://app.discotech.me/events/37177757-thursdays-at-foundation-room
7,https://app.discotech.me/events/37164024-chateau-rooftop-thursdays-at-chateau
8,https://app.discotech.me/events/37164761-don-diablo-savi-at-zouk
9,https://app.discotech.me/events/37178011-party-bus-rental-at-las-vegas-party-bus
10,https://app.discotech.me/events/37179120-deejay-al-worship-thursday-at-tao
11,https://app.discotech.me/events/37187281-nghtmre-at-hakkasan
12,https://app.discotech.me/events/37194508-omnia-thursday-at-omnia
13,https://app.discotech.me/events/37201323-drais-after-hours-at-drais-after-hours
14,https://app.discotech.me/events/37155172-weekdays-at-circa-stadium-swim-at-stadium-swim
15,https://app.discotech.me/events/37189434-azilo-ultra-pool-friday-at-azilo-ultra-pool
16,https://app.discotech.me/events/37164707-cash-cash-esther-anaya-at-ayu-dayclub
17,https://app.discotech.me/events/37179069-dj-buza-at-liquid-pool
18,https://app.discotech.me/events/37179178-dj-spider-at-marquee-dayclub
19,https://app.discotech.me/events/37168830-kat-nova-at-encore-beach-club
20,https://app.discotech.me/events/37187457-lucky-lou-at-drais-beach-club
21,https://app.discotech.me/events/37179099-mike-attack-playboy-summer-search-at-wet-republic
22,https://app.discotech.me/events/37179166-party-favor-at-tao-beach
23,https://app.discotech.me/events/37189459-phoreyz-at-daylight
24,https://app.discotech.me/events/37185776-las-vegas-pool-crawl-at-sin-city-pool-crawl
25,https://app.discotech.me/events/37187332-dj-shift-at-elia-beach-club
26,https://app.discotech.me/events/37229599-sapphire-pool-fridays-at-sapphire-pool
27,https://app.discotech.me/events/37177789-legacy-fridays-at-legacy-club
28,https://app.discotech.me/events/37151840-frank-turner-and-the-sleeping-souls-never-ending-tour-of-everywhere-at-house-of-blues
29,https://app.discotech.me/events/37161083-kingdom-tour-maverick-city-music-x-kirk-franklin-at-mandalay-bay-events-center
30,https://app.discotech.me/events/37137994-katy-perry-play-at-the-theatre-at-resorts-world
31,https://app.discotech.me/events/37149002-leon-bridges-at-the-theater-at-virgin-hotels
32,https://app.discotech.me/events/37174567-maxwell-at-encore-theater-at-wynn
33,https://app.discotech.me/events/37214073-best-night-ever-2010s-pop-dance-party-at-brooklyn-bowl
34,https://app.discotech.me/events/37142553-nightclub-tour-at-sin-city-club-crawl
35,https://app.discotech.me/events/37148875-usher-my-way-the-vegas-residency-at-park-theater
36,https://app.discotech.me/events/37177758-fridays-at-foundation-room
37,https://app.discotech.me/events/37164025-chateau-rooftop-fridays-at-chateau
38,https://app.discotech.me/events/37164942-cheat-codes-at-zouk
39,https://app.discotech.me/events/37189557-dababy-at-drais-nightclub
40,https://app.discotech.me/events/37230037-holy-house-with-chapter-and-verse-21-at-discopussy
41,https://app.discotech.me/events/37178012-party-bus-rental-at-las-vegas-party-bus
42,https://app.discotech.me/events/37187280-alesso-at-omnia
43,https://app.discotech.me/events/37175418-angie-vee-at-light
44,https://app.discotech.me/events/37168851-dillon-francis-at-xs
45,https://app.discotech.me/events/37168747-dj-diesel-and-kim-lee-at-ebc-at-night
46,https://app.discotech.me/events/37179206-dj-pauly-d-at-marquee-nightclub
47,https://app.discotech.me/events/37179121-dj-shift-at-tao
48,https://app.discotech.me/events/37179087-justin-credible-at-jewel
49,https://app.discotech.me/events/37230306-latin-fridays-at-embassy
50,https://app.discotech.me/events/37187282-tyga-custom-made-fridays-at-hakkasan
