,urls
0,https://app.discotech.me/events/37191490-surfcomber-wednesdays-at-surfcomber-hotel
1,https://app.discotech.me/events/37191486-nikki-beach-wednesdays-at-nikki-beach
2,https://app.discotech.me/events/37222366-strawberry-moon-wednesdays-at-strawberry-moon
3,https://app.discotech.me/events/37192762-kaori-wednesdays-at-kaori
4,https://app.discotech.me/events/37192709-chi-dinner-at-chi
5,https://app.discotech.me/events/37192499-el-tucan-wednesdays-at-el-tucan
6,https://app.discotech.me/events/37225045-ladies-wednesdays-at-mandrake
7,https://app.discotech.me/events/37192582-marion-wednesdays-at-marion
8,https://app.discotech.me/events/37192322-my-boyfriend-is-out-of-town-at-baoli
9,https://app.discotech.me/events/37213976-social-wednesdays-at-no-3-social-rooftop
10,https://app.discotech.me/events/37140258-the-black-keys-withspecial-guest-band-of-horses-the-dropout-boogie-tour-at-ithink-financial-amphitheater
11,https://app.discotech.me/events/37192493-mau-wednesdays-at-mau
12,https://app.discotech.me/events/37249129-archila-and-octa-digio-at-do-not-sit-on-the-furniture
13,https://app.discotech.me/events/37192784-bottled-blonde-wednesdays-at-blottled-blonde
14,https://app.discotech.me/events/37191542-komodo-wednesdays-at-komodo-lounge
15,https://app.discotech.me/events/37191491-surfcomber-thursdays-at-surfcomber-hotel
16,https://app.discotech.me/events/37191487-nikki-beach-thursdays-at-nikki-beach
17,https://app.discotech.me/events/37222367-strawberry-moon-thursdays-at-strawberry-moon
18,https://app.discotech.me/events/37192763-kaori-thursdays-at-kaori
19,https://app.discotech.me/events/37192710-chi-dinner-party-at-chi
20,https://app.discotech.me/events/37228795-living-room-thursdays-at-living-room-bar
21,https://app.discotech.me/events/37192323-baoli-thursdays-at-baoli
22,https://app.discotech.me/events/37192500-el-tucan-thursdays-at-el-tucan
23,https://app.discotech.me/events/37225061-mandrake-thursdays-at-mandrake
24,https://app.discotech.me/events/37194872-noche-caliente-at-the-clevelander
25,https://app.discotech.me/events/37217268-rnb-thursdays-at-da-cave
26,https://app.discotech.me/events/37213992-social-thursdays-at-no-3-social-rooftop
27,https://app.discotech.me/events/37192581-thursday-soiree-at-marion
28,https://app.discotech.me/events/37191992-centro-latin-thursdays-at-centro-wynwood
29,https://app.discotech.me/events/37191495-konstantina-gianni-at-e11even
30,https://app.discotech.me/events/37192490-mau-thursdays-at-mau
31,https://app.discotech.me/events/37234044-black-v-neck-at-le-rouge
32,https://app.discotech.me/events/37192788-bottled-blonde-thursdays-at-blottled-blonde
33,https://app.discotech.me/events/37250714-industry-thursdays-presents-revolution-by-night-at-treehouse
34,https://app.discotech.me/events/37242633-odd-aurora-halal-peach-at-floyd
35,https://app.discotech.me/events/37249130-tom-peters-and-rader-at-do-not-sit-on-the-furniture
36,https://app.discotech.me/events/37214796-miami-nightclub-package-at-miami-club-crawl
37,https://app.discotech.me/events/37191593-ladies-thursdays-at-mr-jones
38,https://app.discotech.me/events/37192459-pasarela-dinner-party-at-swan
39,https://app.discotech.me/events/37241163-the-hive-with-carlo-lio-and-kk-at-mad-club
40,https://app.discotech.me/events/37225453-mentirosa-thursday-at-liv
41,https://app.discotech.me/events/37191543-mynt-thursdays-at-mynt
42,https://app.discotech.me/events/37191477-retreat-fridays-at-hyde-beach
43,https://app.discotech.me/events/37191492-surfcomber-fridays-at-surfcomber-hotel
44,https://app.discotech.me/events/37192624-chizzle-and-ariel-assault-at-strawberry-moon
45,https://app.discotech.me/events/37191481-nikki-beach-fridays-at-nikki-beach
46,https://app.discotech.me/events/37192764-kaori-fridays-at-kaori
47,https://app.discotech.me/events/37192711-chi-dinner-party-at-chi
48,https://app.discotech.me/events/37228811-living-room-fridays-at-living-room-bar
49,https://app.discotech.me/events/37192324-baoli-fridays-at-baoli
